PassengerId,Survived,Age,SibSp,Parch,Fare,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,FamilySize,IsAlone
1,0,24.0,0,0,8.05,0,0,1,0,1,0,0,1,1,0
2,0,29.0,0,0,8.05,0,0,1,0,1,0,0,1,1,0
3,0,20.0,0,0,7.8542,0,0,1,0,1,0,0,1,1,0
4,0,46.0,1,0,61.175,1,0,0,0,1,0,0,1,2,1
5,0,26.0,1,2,20.575,0,0,1,0,1,0,0,1,4,1
6,0,59.0,0,0,7.25,0,0,1,0,1,0,0,1,1,0
8,0,71.0,0,0,34.6542,1,0,0,0,1,1,0,0,1,0
9,1,23.0,0,1,63.3583,1,0,0,0,1,1,0,0,2,1
10,1,34.0,0,1,23.0,0,1,0,1,0,0,0,1,2,1
11,0,34.0,1,0,26.0,0,1,0,0,1,0,0,1,2,1
12,0,28.0,0,0,7.8958,0,0,1,1,0,0,0,1,1,0
14,0,21.0,0,1,77.2875,1,0,0,0,1,0,0,1,2,1
15,0,33.0,0,0,8.6542,0,0,1,0,1,0,0,1,1,0
16,0,37.0,2,0,7.925,0,0,1,0,1,0,0,1,3,1
17,0,28.0,0,0,7.8958,0,0,1,0,1,0,0,1,1,0
18,1,21.0,0,0,7.65,0,0,1,1,0,0,0,1,1,0
20,0,38.0,0,0,7.8958,0,0,1,0,1,0,0,1,1,0
22,0,47.0,0,0,52.0,1,0,0,0,1,0,0,1,1,0
23,0,14.5,1,0,14.4542,0,0,1,1,0,1,0,0,2,1
24,0,22.0,0,0,8.05,0,0,1,0,1,0,0,1,1,0
25,0,20.0,1,0,9.825,0,0,1,1,0,0,0,1,2,1
26,0,17.0,0,0,14.4583,0,0,1,1,0,1,0,0,1,0
27,0,21.0,0,0,7.925,0,0,1,0,1,0,0,1,1,0
28,0,70.5,0,0,7.75,0,0,1,0,1,0,1,0,1,0
29,0,29.0,1,0,21.0,0,1,0,0,1,0,0,1,2,1
30,0,24.0,0,1,247.5208,1,0,0,0,1,1,0,0,2,1
31,0,2.0,4,2,31.275,0,0,1,1,0,0,0,1,7,1
32,0,21.0,2,0,73.5,0,1,0,0,1,0,0,1,3,1
34,0,32.5,1,0,30.0708,0,1,0,0,1,1,0,0,2,1
35,1,32.5,0,0,13.0,0,1,0,1,0,0,0,1,1,0
36,0,54.0,0,1,77.2875,1,0,0,0,1,0,0,1,2,1
37,1,12.0,1,0,11.2417,0,0,1,0,1,1,0,0,2,1
39,1,24.0,0,0,7.1417,0,0,1,0,1,0,0,1,1,0
41,0,45.0,0,0,6.975,0,0,1,0,1,0,0,1,1,0
42,0,33.0,0,0,7.8958,0,0,1,0,1,1,0,0,1,0
43,0,20.0,0,0,7.05,0,0,1,0,1,0,0,1,1,0
44,0,47.0,1,0,14.5,0,0,1,1,0,0,0,1,2,1
45,1,29.0,1,0,26.0,0,1,0,1,0,0,0,1,2,1
46,0,25.0,0,0,13.0,0,1,0,0,1,0,0,1,1,0
47,0,23.0,0,0,15.0458,0,1,0,0,1,1,0,0,1,0
48,1,19.0,0,2,26.2833,1,0,0,1,0,0,0,1,3,1
49,0,37.0,1,0,53.1,1,0,0,0,1,0,0,1,2,1
50,0,16.0,0,0,9.2167,0,0,1,0,1,0,0,1,1,0
51,0,24.0,0,0,79.2,1,0,0,0,1,1,0,0,1,0
53,1,22.0,0,0,7.75,0,0,1,1,0,0,0,1,1,0
54,1,24.0,1,0,15.85,0,0,1,1,0,0,0,1,2,1
55,0,19.0,0,0,6.75,0,0,1,0,1,0,1,0,1,0
56,0,18.0,0,0,11.5,0,1,0,0,1,0,0,1,1,0
57,0,19.0,1,1,36.75,0,1,0,0,1,0,0,1,3,1
58,1,27.0,0,0,7.7958,0,0,1,0,1,0,0,1,1,0
59,0,9.0,2,2,34.375,0,0,1,1,0,0,0,1,5,1
60,0,36.5,0,2,26.0,0,1,0,0,1,0,0,1,3,1
61,0,42.0,0,0,13.0,0,1,0,0,1,0,0,1,1,0
62,0,51.0,0,0,12.525,0,1,0,0,1,0,0,1,1,0
63,1,22.0,1,0,66.6,1,0,0,1,0,0,0,1,2,1
64,0,55.5,0,0,8.05,0,0,1,0,1,0,0,1,1,0
65,0,40.5,0,2,14.5,0,0,1,0,1,0,0,1,3,1
67,0,51.0,0,1,61.3792,1,0,0,0,1,1,0,0,2,1
68,1,16.0,0,0,7.7333,0,0,1,1,0,0,1,0,1,0
69,0,30.0,0,0,8.05,0,0,1,0,1,0,0,1,1,0
72,0,44.0,0,1,16.1,0,0,1,0,1,0,0,1,2,1
73,1,40.0,0,0,15.75,0,1,0,1,0,0,0,1,1,0
74,0,26.0,0,0,7.775,0,0,1,0,1,0,0,1,1,0
75,0,17.0,0,0,8.6625,0,0,1,0,1,0,0,1,1,0
76,0,1.0,4,1,39.6875,0,0,1,0,1,0,0,1,6,1
77,1,9.0,0,2,20.525,0,0,1,0,1,0,0,1,3,1
79,0,45.0,1,4,27.9,0,0,1,1,0,0,0,1,6,1
81,0,28.0,0,0,56.4958,0,0,1,0,1,0,0,1,1,0
82,0,61.0,0,0,33.5,1,0,0,0,1,0,0,1,1,0
83,0,4.0,4,1,29.125,0,0,1,0,1,0,1,0,6,1
84,1,1.0,1,1,11.1333,0,0,1,1,0,0,0,1,3,1
85,0,21.0,0,0,7.925,0,0,1,0,1,0,0,1,1,0
86,0,56.0,0,0,30.6958,1,0,0,0,1,1,0,0,1,0
87,0,18.0,1,1,7.8542,0,0,1,0,1,0,0,1,3,1
89,0,50.0,0,0,28.7125,1,0,0,1,0,1,0,0,1,0
90,0,30.0,0,0,13.0,0,1,0,0,1,0,0,1,1,0
91,0,36.0,0,0,0.0,0,0,1,0,1,0,0,1,1,0
94,0,9.0,4,2,31.3875,0,0,1,0,1,0,0,1,7,1
95,1,1.0,2,1,39.0,0,1,0,0,1,0,0,1,4,1
96,1,4.0,0,2,22.025,0,0,1,1,0,0,0,1,3,1
99,1,45.0,0,0,26.55,1,0,0,0,1,0,0,1,1,0
100,0,40.0,1,1,15.5,0,0,1,0,1,0,1,0,3,1
101,0,36.0,0,0,7.8958,0,0,1,0,1,0,0,1,1,0
102,1,32.0,0,0,13.0,0,1,0,1,0,0,0,1,1,0
103,0,19.0,0,0,13.0,0,1,0,0,1,0,0,1,1,0
104,1,19.0,1,0,7.8542,0,0,1,1,0,0,0,1,2,1
105,1,3.0,1,1,26.0,0,1,0,0,1,0,0,1,3,1
106,1,44.0,0,0,27.7208,1,0,0,1,0,1,0,0,1,0
107,1,58.0,0,0,146.5208,1,0,0,1,0,1,0,0,1,0
109,0,42.0,0,1,8.4042,0,0,1,0,1,0,0,1,2,1
111,0,24.0,0,0,13.0,0,1,0,1,0,0,0,1,1,0
112,0,28.0,0,0,9.5,0,0,1,0,1,0,0,1,1,0
114,0,34.0,0,0,6.4958,0,0,1,0,1,0,0,1,1,0
115,0,45.5,0,0,7.225,0,0,1,0,1,1,0,0,1,0
116,1,18.0,0,0,8.05,0,0,1,0,1,0,0,1,1,0
117,0,2.0,0,1,10.4625,0,0,1,1,0,0,0,1,2,1
