PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone
1,0,3,0,24.0,0,0,8.05,S,1,1
2,0,3,0,29.0,0,0,8.05,S,1,1
3,0,3,0,20.0,0,0,7.8542,S,1,1
4,0,1,0,46.0,1,0,61.175,S,2,0
5,0,3,0,26.0,1,2,20.575,S,4,0
6,0,3,0,59.0,0,0,7.25,S,1,1
8,0,1,0,71.0,0,0,34.6542,C,1,1
9,1,1,0,23.0,0,1,63.3583,C,2,0
10,1,2,1,34.0,0,1,23.0,S,2,0
11,0,2,0,34.0,1,0,26.0,S,2,0
12,0,3,1,28.0,0,0,7.8958,S,1,1
14,0,1,0,21.0,0,1,77.2875,S,2,0
15,0,3,0,33.0,0,0,8.6542,S,1,1
16,0,3,0,37.0,2,0,7.925,S,3,0
17,0,3,0,28.0,0,0,7.8958,S,1,1
18,1,3,1,21.0,0,0,7.65,S,1,1
20,0,3,0,38.0,0,0,7.8958,S,1,1
22,0,1,0,47.0,0,0,52.0,S,1,1
23,0,3,1,14.5,1,0,14.4542,C,2,0
24,0,3,0,22.0,0,0,8.05,S,1,1
25,0,3,1,20.0,1,0,9.825,S,2,0
26,0,3,1,17.0,0,0,14.4583,C,1,1
27,0,3,0,21.0,0,0,7.925,S,1,1
28,0,3,0,70.5,0,0,7.75,Q,1,1
29,0,2,0,29.0,1,0,21.0,S,2,0
30,0,1,0,24.0,0,1,247.5208,C,2,0
31,0,3,1,2.0,4,2,31.275,S,7,0
32,0,2,0,21.0,2,0,73.5,S,3,0
34,0,2,0,32.5,1,0,30.0708,C,2,0
35,1,2,1,32.5,0,0,13.0,S,1,1
36,0,1,0,54.0,0,1,77.2875,S,2,0
37,1,3,0,12.0,1,0,11.2417,C,2,0
39,1,3,0,24.0,0,0,7.1417,S,1,1
41,0,3,0,45.0,0,0,6.975,S,1,1
42,0,3,0,33.0,0,0,7.8958,C,1,1
43,0,3,0,20.0,0,0,7.05,S,1,1
44,0,3,1,47.0,1,0,14.5,S,2,0
45,1,2,1,29.0,1,0,26.0,S,2,0
46,0,2,0,25.0,0,0,13.0,S,1,1
47,0,2,0,23.0,0,0,15.0458,C,1,1
48,1,1,1,19.0,0,2,26.2833,S,3,0
49,0,1,0,37.0,1,0,53.1,S,2,0
50,0,3,0,16.0,0,0,9.2167,S,1,1
51,0,1,0,24.0,0,0,79.2,C,1,1
53,1,3,1,22.0,0,0,7.75,S,1,1
54,1,3,1,24.0,1,0,15.85,S,2,0
55,0,3,0,19.0,0,0,6.75,Q,1,1
56,0,2,0,18.0,0,0,11.5,S,1,1
57,0,2,0,19.0,1,1,36.75,S,3,0
58,1,3,0,27.0,0,0,7.7958,S,1,1
59,0,3,1,9.0,2,2,34.375,S,5,0
60,0,2,0,36.5,0,2,26.0,S,3,0
61,0,2,0,42.0,0,0,13.0,S,1,1
62,0,2,0,51.0,0,0,12.525,S,1,1
63,1,1,1,22.0,1,0,66.6,S,2,0
64,0,3,0,55.5,0,0,8.05,S,1,1
65,0,3,0,40.5,0,2,14.5,S,3,0
67,0,1,0,51.0,0,1,61.3792,C,2,0
68,1,3,1,16.0,0,0,7.7333,Q,1,1
69,0,3,0,30.0,0,0,8.05,S,1,1
72,0,3,0,44.0,0,1,16.1,S,2,0
