PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,male,24.0,0,0,8.05,S
2,0,3,male,29.0,0,0,8.05,S
3,0,3,male,20.0,0,0,7.8542,S
4,0,1,male,46.0,1,0,61.175,S
5,0,3,male,26.0,1,2,20.575,S
6,0,3,male,59.0,0,0,7.25,S
8,0,1,male,71.0,0,0,34.6542,C
9,1,1,male,23.0,0,1,63.3583,C
10,1,2,female,34.0,0,1,23.0,S
11,0,2,male,34.0,1,0,26.0,S
12,0,3,female,28.0,0,0,7.8958,S
14,0,1,male,21.0,0,1,77.2875,S
15,0,3,male,33.0,0,0,8.6542,S
16,0,3,male,37.0,2,0,7.925,S
17,0,3,male,28.0,0,0,7.8958,S
18,1,3,female,21.0,0,0,7.65,S
20,0,3,male,38.0,0,0,7.8958,S
22,0,1,male,47.0,0,0,52.0,S
23,0,3,female,14.5,1,0,14.4542,C
24,0,3,male,22.0,0,0,8.05,S
25,0,3,female,20.0,1,0,9.825,S
26,0,3,female,17.0,0,0,14.4583,C
27,0,3,male,21.0,0,0,7.925,S
28,0,3,male,70.5,0,0,7.75,Q
29,0,2,male,29.0,1,0,21.0,S
30,0,1,male,24.0,0,1,247.5208,C
31,0,3,female,2.0,4,2,31.275,S
32,0,2,male,21.0,2,0,73.5,S
34,0,2,male,32.5,1,0,30.0708,C
35,1,2,female,32.5,0,0,13.0,S
36,0,1,male,54.0,0,1,77.2875,S
37,1,3,male,12.0,1,0,11.2417,C
39,1,3,male,24.0,0,0,7.1417,S
41,0,3,male,45.0,0,0,6.975,S
42,0,3,male,33.0,0,0,7.8958,C
43,0,3,male,20.0,0,0,7.05,S
44,0,3,female,47.0,1,0,14.5,S
45,1,2,female,29.0,1,0,26.0,S
46,0,2,male,25.0,0,0,13.0,S
47,0,2,male,23.0,0,0,15.0458,C
48,1,1,female,19.0,0,2,26.2833,S
49,0,1,male,37.0,1,0,53.1,S
50,0,3,male,16.0,0,0,9.2167,S
51,0,1,male,24.0,0,0,79.2,C
53,1,3,female,22.0,0,0,7.75,S
54,1,3,female,24.0,1,0,15.85,S
55,0,3,male,19.0,0,0,6.75,Q
56,0,2,male,18.0,0,0,11.5,S
57,0,2,male,19.0,1,1,36.75,S
58,1,3,male,27.0,0,0,7.7958,S
59,0,3,female,9.0,2,2,34.375,S
60,0,2,male,36.5,0,2,26.0,S
61,0,2,male,42.0,0,0,13.0,S
